policy,budget_words,relation,kind,metric,mean,lo,hi,n_contexts,n_cells
conditioned,40,paraphrase,utility,em,0.640625,0.515625,0.765625,16,64
conditioned,40,paraphrase,regret,em,0.15625,0.078125,0.25,16,64
conditioned,40,paraphrase,utility,f1,0.7359375,0.6526041666666667,0.8203125,16,64
conditioned,40,paraphrase,regret,f1,0.08697916666666666,0.042695312500000054,0.13489583333333333,16,64
conditioned,40,paraphrase,utility,judge_correct,0.984375,0.953125,1.0,16,64
conditioned,40,paraphrase,regret,judge_correct,0.015625,0.0,0.046875,16,64
conditioned,40,same_entity,utility,em,0.28125,0.2027343750000017,0.359375,16,64
conditioned,40,same_entity,regret,em,0.5625,0.453125,0.671875,16,64
conditioned,40,same_entity,utility,f1,0.33072916666666663,0.2546875,0.4041666666666667,16,64
conditioned,40,same_entity,regret,f1,0.575,0.5145833333333333,0.6427083333333333,16,64
conditioned,40,same_entity,utility,judge_correct,0.390625,0.3125,0.5,16,64
conditioned,40,same_entity,regret,judge_correct,0.59375,0.484375,0.671875,16,64
conditioned,40,same_topic,utility,em,0.46875,0.359375,0.578125,16,64
conditioned,40,same_topic,regret,em,0.5,0.390625,0.609375,16,64
conditioned,40,same_topic,utility,f1,0.4828125,0.3875,0.584375,16,64
conditioned,40,same_topic,regret,f1,0.5067708333333334,0.40933593750000014,0.5989583333333333,16,64
conditioned,40,same_topic,utility,judge_correct,0.46875,0.359375,0.578125,16,64
conditioned,40,same_topic,regret,judge_correct,0.53125,0.421875,0.640625,16,64
conditioned,40,orthogonal,utility,em,0.006510416666666666,0.0013020833333333333,0.013020833333333332,16,768
conditioned,40,orthogonal,regret,em,0.8450520833333333,0.796875,0.8893229166666666,16,768
conditioned,40,orthogonal,utility,f1,0.035890997023809525,0.025740482390873017,0.04640392485119048,16,768
conditioned,40,orthogonal,regret,f1,0.8544735863095239,0.8239801122271825,0.886624736483135,16,768
conditioned,40,orthogonal,utility,judge_correct,0.014322916666666664,0.005208333333333333,0.024739583333333332,16,768
conditioned,40,orthogonal,regret,judge_correct,0.9817708333333334,0.9674479166666667,0.9947916666666666,16,768
conditioned,80,paraphrase,utility,em,0.71875,0.59375,0.828125,16,64
conditioned,80,paraphrase,regret,em,0.078125,0.015625,0.15625,16,64
