stack_id,dataset,future_distribution,metric,policy_set,constraint_budget,dimension,point_estimate,bootstrap_mean,lo,hi,ci_level,n_resamples,n_contexts,n_configurations,cost_reference
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,all_deployable,,3d,0.08123561717845776,0.08457809987527352,0.0607936030847055,0.11432104434496088,0.95,5000,24,3,160.0
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,all_deployable,20,2d,0.0,0.0,0.0,0.0,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,all_deployable,40,2d,0.0,0.0,0.0,0.0,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,all_deployable,80,2d,0.15067997685185186,0.15659654224537037,0.1130642361111111,0.21057581018518517,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,all_deployable,160,2d,0.15067997685185186,0.15659654224537037,0.1130642361111111,0.21057581018518517,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,f1,all_deployable,,3d,0.16712642873953787,0.16799685529622005,0.13983611094486803,0.19827753523666417,0.95,5000,24,3,160.0
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,f1,all_deployable,20,2d,0.0,0.0,0.0,0.0,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,f1,all_deployable,40,2d,0.0,0.0,0.0,0.0,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,f1,all_deployable,80,2d,0.30986691000012023,0.31102237569889035,0.2604756092301527,0.36587965482873624,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,f1,all_deployable,160,2d,0.30986691000012023,0.31102237569889035,0.2604756092301527,0.36587965482873624,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,judge_correct,all_deployable,,3d,0.24343134562174482,0.24386601072382044,0.21527483622233076,0.2757740338643391,0.95,5000,24,3,160.0
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,judge_correct,all_deployable,20,2d,0.0,0.0,0.0,0.0,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,judge_correct,all_deployable,40,2d,0.0,0.0,0.0,0.0,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,judge_correct,all_deployable,80,2d,0.4512803819444444,0.4514618995949074,0.39901529947916664,0.5097683376736111,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,judge_correct,all_deployable,160,2d,0.4512803819444444,0.4514618995949074,0.39901529947916664,0.5097683376736111,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,em,all_deployable,,3d,0.08765497560854311,0.09052912940931909,0.06627914434597816,0.1198724415272842,0.95,5000,24,3,160.0
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,em,all_deployable,20,2d,0.0,0.0,0.0,0.0,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,em,all_deployable,40,2d,0.0,0.0,0.0,0.0,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,em,all_deployable,80,2d,0.16214554398148148,0.16719681712962964,0.1226128472222222,0.22117422598379624,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,em,all_deployable,160,2d,0.16214554398148148,0.16719681712962964,0.1226128472222222,0.22117422598379624,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,f1,all_deployable,,3d,0.173530159804181,0.17611588678704584,0.15112022643226364,0.20405380061983455,0.95,5000,24,3,160.0
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,f1,all_deployable,20,2d,0.0,0.0,0.0,0.0,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,f1,all_deployable,40,2d,0.0,0.0,0.0,0.0,0.95,5000,24,3,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,f1,all_deployable,80,2d,0.3210006855985531,0.3253103514975107,0.27954403569692815,0.376612551059768,0.95,5000,24,3,
