policy,budget_words,metric,u_now,u_future,cost_words,dominated,dominated_by,dominated_within_budget
conditioned,20,judge_correct,1.0,0.07708333333333334,18.28125,False,,True
conditioned,40,judge_correct,0.984375,0.09583333333333333,36.46875,False,,True
conditioned,80,judge_correct,0.984375,0.11666666666666667,72.875,False,,True
conditioned,160,judge_correct,0.96875,0.16770833333333335,143.890625,True,reusable@80w,False
generic,20,judge_correct,0.140625,0.10312500000000001,18.75,True,oracle@20w,True
generic,40,judge_correct,0.34375,0.20625000000000002,37.125,True,oracle@40w,True
generic,80,judge_correct,0.46875,0.3145833333333334,73.25,True,oracle@40w,True
generic,160,judge_correct,0.609375,0.5093749999999999,143.5625,True,oracle@80w,True
lm_conditioned,20,judge_correct,0.0625,0.02291666666666667,12.578125,False,,True
lm_conditioned,40,judge_correct,0.609375,0.06458333333333334,31.140625,True,conditioned@20w;reusable@20w,True
lm_conditioned,80,judge_correct,0.703125,0.16354166666666667,72.65625,False,,True
lm_conditioned,160,judge_correct,0.890625,0.33125000000000004,152.234375,True,oracle@160w;reusable@160w,True
lm_generic,20,judge_correct,0.03125,0.02291666666666667,11.6875,False,,True
lm_generic,40,judge_correct,0.078125,0.06979166666666667,31.0625,True,conditioned@20w;generic@20w;oracle@20w;paraphrase@20w;reusable@20w,True
lm_generic,80,judge_correct,0.1875,0.175,74.8125,True,generic@40w;generic@80w;oracle@20w;oracle@40w;paraphrase@80w;passthrough@80w;reusable@80w,True
lm_generic,160,judge_correct,0.375,0.35,152.0625,True,generic@160w;oracle@160w;oracle@40w;oracle@80w;paraphrase@160w;passthrough@160w,True
nonllm_conditioned,20,judge_correct,0.046875,0.025,12.5,False,,True
nonllm_conditioned,40,judge_correct,0.78125,0.06770833333333334,31.296875,True,conditioned@20w;reusable@20w,True
nonllm_conditioned,80,judge_correct,0.890625,0.14583333333333334,72.703125,False,,True
nonllm_conditioned,160,judge_correct,0.953125,0.3260416666666667,152.671875,True,reusable@160w,True
nonllm_generic,20,judge_correct,0.015625,0.015625,12.875,True,lm_conditioned@20w;lm_generic@20w;nonllm_conditioned@20w;passthrough@20w;random_selection@20w,True
nonllm_generic,40,judge_correct,0.046875,0.059375,33.3125,True,conditioned@20w;generic@20w;lm_conditioned@40w;lm_generic@40w;nonllm_conditioned@40w;oracle@20w;paraphrase@20w;random_selection@40w;reusable@20w,True
nonllm_generic,80,judge_correct,0.140625,0.13645833333333335,74.0625,True,generic@40w;generic@80w;lm_conditioned@80w;nonllm_conditioned@80w;oracle@20w;oracle@40w;paraphrase@40w;passthrough@80w;random_selection@80w;reusable@80w,True
nonllm_generic,160,judge_correct,0.34375,0.3145833333333333,153.625,True,generic@160w;generic@80w;lm_conditioned@160w;lm_generic@160w;nonllm_conditioned@160w;oracle@160w;oracle@40w;oracle@80w;paraphrase@160w;passthrough@160w;random_selection@160w;reusable@160w,True
oracle,20,judge_correct,0.25,0.1791666666666667,18.0625,False,,False
oracle,40,judge_correct,0.515625,0.3989583333333333,36.75,False,,False
oracle,80,judge_correct,0.75,0.6916666666666667,75.625,False,,False
oracle,160,judge_correct,0.890625,0.828125,143.6875,False,,False
paraphrase,20,judge_correct,0.140625,0.07395833333333335,18.5625,True,conditioned@20w;oracle@20w;reusable@20w,True
paraphrase,40,judge_correct,0.1875,0.1375,37.6875,True,generic@40w;oracle@20w;oracle@40w,True
paraphrase,80,judge_correct,0.296875,0.24687499999999998,74.6875,True,generic@80w;oracle@40w,True
paraphrase,160,judge_correct,0.40625,0.38541666666666663,145.3125,True,generic@160w;oracle@160w;oracle@40w;oracle@80w,True
passthrough,20,judge_correct,0.03125,0.03125,12.5625,False,,True
passthrough,40,judge_correct,0.125,0.07083333333333333,33.4375,True,conditioned@20w;generic@20w;oracle@20w;paraphrase@20w;reusable@20w,True
passthrough,80,judge_correct,0.265625,0.17812500000000003,72.75,True,generic@40w;oracle@40w,True
passthrough,160,judge_correct,0.453125,0.36979166666666663,151.875,True,generic@160w;oracle@160w;oracle@40w;oracle@80w,True
random_selection,20,judge_correct,0.015625,0.015625,12.375,True,lm_generic@20w,True
random_selection,40,judge_correct,0.046875,0.06354166666666666,30.75,True,conditioned@20w;generic@20w;oracle@20w;paraphrase@20w;reusable@20w,True
random_selection,80,judge_correct,0.1875,0.15,72.9375,True,generic@40w;lm_conditioned@80w;oracle@20w;oracle@40w;passthrough@80w;reusable@80w,True
random_selection,160,judge_correct,0.46875,0.38125,152.375,True,generic@160w;oracle@160w;oracle@40w;oracle@80w,True
reusable,20,judge_correct,1.0,0.08125,18.34375,False,,False
reusable,40,judge_correct,1.0,0.103125,36.796875,False,,False
reusable,80,judge_correct,1.0,0.19687500000000002,72.9375,False,,False
reusable,160,judge_correct,0.953125,0.334375,143.28125,False,,False
