stack_id,dataset,future_distribution,metric,scope,constraint_budget,configuration_id,policy,policy_family,preference_id,future_share,requested_budget,u_now,u_future,cost,classification,dominated_by_legacy,dominates_legacy,incremental_hypervolume
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,160.0,scalar__l0p333|requested_B=80,scalar__l0p333,scalar,l0p333,0.25,80,0.765625,0.19583333333333336,72.171875,dominated_by_legacy,"[""reusable|requested_B=160""]","[""conditioned|requested_B=160"", ""conditioned|requested_B=20"", ""conditioned|requested_B=40"", ""conditioned|requested_B=80"", ""generic|requested_B=20"", ""generic|requested_B=40"", ""generic|requested_B=80"", ""reusable|requested_B=20"", ""reusable|requested_B=40""]",0.0
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,160.0,scalar__l0|requested_B=80,scalar__l0,scalar,l0,0.0,80,0.78125,0.16666666666666666,72.578125,frontier_shift_and_dominance,[],"[""conditioned|requested_B=160"", ""conditioned|requested_B=20"", ""conditioned|requested_B=40"", ""conditioned|requested_B=80"", ""generic|requested_B=20"", ""generic|requested_B=40"", ""reusable|requested_B=20"", ""reusable|requested_B=40""]",0.0001464843749999778
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,160.0,scalar__l1|requested_B=80,scalar__l1,scalar,l1,0.5,80,0.765625,0.17291666666666666,71.90625,dominated_by_legacy,"[""reusable|requested_B=160""]","[""conditioned|requested_B=160"", ""conditioned|requested_B=20"", ""conditioned|requested_B=40"", ""conditioned|requested_B=80"", ""generic|requested_B=20"", ""generic|requested_B=40"", ""generic|requested_B=80"", ""reusable|requested_B=20"", ""reusable|requested_B=40""]",0.0
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,160.0,scalar__l3|requested_B=80,scalar__l3,scalar,l3,0.75,80,0.765625,0.18125000000000002,72.03125,dominated_by_legacy,"[""reusable|requested_B=160""]","[""conditioned|requested_B=160"", ""conditioned|requested_B=20"", ""conditioned|requested_B=40"", ""conditioned|requested_B=80"", ""generic|requested_B=20"", ""generic|requested_B=40"", ""generic|requested_B=80"", ""reusable|requested_B=20"", ""reusable|requested_B=40""]",0.0
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,160.0,scalar__linf|requested_B=80,scalar__linf,scalar,linf,1.0,80,0.75,0.18229166666666669,72.65625,dominated_by_legacy,"[""reusable|requested_B=160""]","[""conditioned|requested_B=20"", ""generic|requested_B=20"", ""generic|requested_B=40"", ""generic|requested_B=80"", ""reusable|requested_B=20""]",0.0
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,160.0,split__l0p333|requested_B=160,split__l0p333,split,l0p333,0.25,160,0.78125,0.234375,143.34375,frontier_shift_and_dominance,[],"[""conditioned|requested_B=160"", ""conditioned|requested_B=20"", ""conditioned|requested_B=40"", ""conditioned|requested_B=80"", ""generic|requested_B=20"", ""generic|requested_B=40"", ""generic|requested_B=80"", ""reusable|requested_B=20"", ""reusable|requested_B=40""]",0.0012044270833332926
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,160.0,split__l0p333|requested_B=40,split__l0p333,split,l0p333,0.25,40,0.78125,0.08958333333333333,36.96875,dominated_by_legacy,"[""reusable|requested_B=80""]","[""conditioned|requested_B=20"", ""conditioned|requested_B=40"", ""generic|requested_B=20"", ""reusable|requested_B=20"", ""reusable|requested_B=40""]",-5.551115123125783e-17
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,160.0,split__l0p333|requested_B=80,split__l0p333,split,l0p333,0.25,80,0.765625,0.14479166666666665,71.5625,dominated_by_legacy,"[""reusable|requested_B=160"", ""reusable|requested_B=80""]","[""conditioned|requested_B=160"", ""conditioned|requested_B=20"", ""conditioned|requested_B=40"", ""conditioned|requested_B=80"", ""generic|requested_B=20"", ""generic|requested_B=40"", ""reusable|requested_B=20"", ""reusable|requested_B=40""]",0.0
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,160.0,split__l0|requested_B=160,split__l0,split,l0,0.0,160,0.78125,0.18958333333333333,142.609375,frontier_shift_and_dominance,[],"[""conditioned|requested_B=160"", ""conditioned|requested_B=20"", ""conditioned|requested_B=40"", ""conditioned|requested_B=80"", ""generic|requested_B=20"", ""generic|requested_B=40"", ""generic|requested_B=80"", ""reusable|requested_B=20"", ""reusable|requested_B=40""]",0.0005045572916666519
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,deployable,160.0,split__l0|requested_B=40,split__l0,split,l0,0.0,40,0.75,0.0625,35.734375,dominated_by_legacy,"[""conditioned|requested_B=160"", ""conditioned|requested_B=40"", ""conditioned|requested_B=80"", ""reusable|requested_B=160"", ""reusable|requested_B=40"", ""reusable|requested_B=80""]","[""conditioned|requested_B=20"", ""generic|requested_B=20"", ""reusable|requested_B=20""]",0.0
