stack_id,stack_label,dataset,future_distribution,metric,configuration_id,policy,policy_family,policy_label,preference_id,future_share,lambda,lambda_infinite,requested_budget,deployable,analysis_eligible,context_id,u_now,u_future,cost,feasibility_cost,n_rotations
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,judge_correct,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.13333333333333333,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,relation_balanced,judge_correct,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.38541666666666663,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,novel_near,judge_correct,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.375,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,rho25,judge_correct,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.2916666666666667,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,rho50,judge_correct,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.20833333333333331,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,rho75,judge_correct,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.125,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,far,judge_correct,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.041666666666666664,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,paraphrase_sanity,judge_correct,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.75,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,em,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.13333333333333333,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,relation_balanced,em,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.38541666666666663,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,novel_near,em,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.375,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,rho25,em,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.2916666666666667,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,rho50,em,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.20833333333333331,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,rho75,em,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.125,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,far,em,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.041666666666666664,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,paraphrase_sanity,em,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.75,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,f1,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.13333333333333333,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,relation_balanced,f1,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.38541666666666663,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,novel_near,f1,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.375,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,rho25,f1,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.2916666666666667,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,rho50,f1,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.20833333333333331,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,rho75,f1,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.125,147.5,155.0,4
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,far,f1,conditioned|requested_B=160,conditioned,legacy,Conditioned,,,,False,160,True,True,rel:3,0.75,0.041666666666666664,147.5,155.0,4
