task_id,dossier_id,rotation_id,a_fact_id,b_fact_id,family,arm,factorial,selector_tier,relay_tier,selector_model,relay_model,intervention,source_reopened,intervention_changed,intervention_inserted,intervention_removed,intervention_reason,rescue_eligible,direct_baseline_correct,closed_book_known,qa_eligible,stage1_selected_ids,relay_input_ids,stage2_selected_ids,stage1_selected_count,stage2_selected_count,a_card_selected_stage1,b_card_selected_stage1_base,b_card_selected_relay_input,b_card_selected_stage2,a_present_stage1,b_present_stage1_base,b_present_relay_input,b_present_stage2,stage1_compliant,stage2_compliant,overall_compliant,stage1_empty,stage2_empty,stage1_truncated,stage2_truncated,stage1_packet_words,relay_input_words,stage2_packet_words,question,golds,pred,em,f1,judge_correct
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,llama,llama_ss,1,small,small,llama_small,llama_small,sealed,0,0,,,no intervention,0,1,0,1,fic:1:side2|fic:1:target|fic:1:side3,fic:1:side2|fic:1:target|fic:1:side3,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,62,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,llama,llama_sl,1,small,large,llama_small,llama_large,sealed,0,0,,,no intervention,0,1,0,1,fic:1:side2|fic:1:target|fic:1:side3,fic:1:side2|fic:1:target|fic:1:side3,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,62,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,llama,llama_ls,1,large,small,llama_large,llama_small,sealed,0,0,,,no intervention,0,1,0,1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,62,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,llama,llama_ll,1,large,large,llama_large,llama_large,sealed,0,0,,,no intervention,0,1,0,1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,62,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,llama,llama_sl_sham,0,small,large,llama_small,llama_large,sham,0,0,,,"restore was ineligible, so matched sham is a no-op",0,1,0,1,fic:1:side2|fic:1:target|fic:1:side3,fic:1:side2|fic:1:target|fic:1:side3,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,62,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,llama,llama_sl_restore,0,small,large,llama_small,llama_large,restore,0,0,,,support_already_present,0,1,0,1,fic:1:side2|fic:1:target|fic:1:side3,fic:1:side2|fic:1:target|fic:1:side3,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,62,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,llama,llama_sl_reopen,0,small,large,llama_small,llama_large,reopen,1,0,,,no intervention,0,1,0,1,fic:1:side2|fic:1:target|fic:1:side3,fic:1:side2|fic:1:target|fic:1:side5|fic:1:side1|fic:1:side3|fic:1:side4,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,104,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,qwen,qwen_ss,1,small,small,qwen_small,qwen_small,sealed,0,0,,,no intervention,0,1,0,1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,62,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,qwen,qwen_sl,1,small,large,qwen_small,qwen_large,sealed,0,0,,,no intervention,0,1,0,1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,62,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,qwen,qwen_ls,1,large,small,qwen_large,qwen_small,sealed,0,0,,,no intervention,0,1,0,1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,62,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,qwen,qwen_ll,1,large,large,qwen_large,qwen_large,sealed,0,0,,,no intervention,0,1,0,1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,62,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,qwen,qwen_sl_sham,0,small,large,qwen_small,qwen_large,sham,0,0,,,"restore was ineligible, so matched sham is a no-op",0,1,0,1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,62,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,qwen,qwen_sl_restore,0,small,large,qwen_small,qwen_large,restore,0,0,,,support_already_present,0,1,0,1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,62,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=side2:a361e4c7535d|B=fic:1:target,fic:1,fic:1:A=side2:a361e4c7535d,fic:1:side2,fic:1:target,qwen,qwen_sl_reopen,0,small,large,qwen_small,qwen_large,reopen,1,0,,,no intervention,0,1,0,1,fic:1:side2|fic:1:target|fic:1:side1,fic:1:side2|fic:1:target|fic:1:side5|fic:1:side1|fic:1:side3|fic:1:side4,fic:1:target,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,62,104,30,Who founded Veydrin Hollow?,Mara Teln,Mara Teln,1.0,1.0,1
fic:1|fic:1:A=target:97ff7ed76eac|B=fic:1:side5,fic:1,fic:1:A=target:97ff7ed76eac,fic:1:target,fic:1:side5,llama,llama_ss,1,small,small,llama_small,llama_small,sealed,0,0,,,no intervention,1,1,0,1,fic:1:target|fic:1:side2|fic:1:side3,fic:1:target|fic:1:side2|fic:1:side3,fic:1:target,3,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,62,62,30,In what year did Kestrelpin Common School open?,940 WR,732 WR,0.0,0.5,0
fic:1|fic:1:A=target:97ff7ed76eac|B=fic:1:side5,fic:1,fic:1:A=target:97ff7ed76eac,fic:1:target,fic:1:side5,llama,llama_sl,1,small,large,llama_small,llama_large,sealed,0,0,,,no intervention,1,1,0,1,fic:1:target|fic:1:side2|fic:1:side3,fic:1:target|fic:1:side2|fic:1:side3,fic:1:side2,3,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,62,62,16,In what year did Kestrelpin Common School open?,940 WR,889 WR,0.0,0.5,0
fic:1|fic:1:A=target:97ff7ed76eac|B=fic:1:side5,fic:1,fic:1:A=target:97ff7ed76eac,fic:1:target,fic:1:side5,llama,llama_ls,1,large,small,llama_large,llama_small,sealed,0,0,,,no intervention,1,1,0,1,fic:1:target|fic:1:side2|fic:1:side1,fic:1:target|fic:1:side2|fic:1:side1,fic:1:side2,3,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,62,62,16,In what year did Kestrelpin Common School open?,940 WR,889 WR,0.0,0.5,0
fic:1|fic:1:A=target:97ff7ed76eac|B=fic:1:side5,fic:1,fic:1:A=target:97ff7ed76eac,fic:1:target,fic:1:side5,llama,llama_ll,1,large,large,llama_large,llama_large,sealed,0,0,,,no intervention,1,1,0,1,fic:1:target|fic:1:side2|fic:1:side1,fic:1:target|fic:1:side2|fic:1:side1,fic:1:side2,3,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,62,62,16,In what year did Kestrelpin Common School open?,940 WR,889 WR,0.0,0.5,0
fic:1|fic:1:A=target:97ff7ed76eac|B=fic:1:side5,fic:1,fic:1:A=target:97ff7ed76eac,fic:1:target,fic:1:side5,llama,llama_sl_sham,0,small,large,llama_small,llama_large,sham,0,1,fic:1:side1,fic:1:side2,replaced_with_length_nearest_non_support_card,1,1,0,1,fic:1:target|fic:1:side2|fic:1:side3,fic:1:target|fic:1:side1|fic:1:side3,fic:1:target,3,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,62,62,30,In what year did Kestrelpin Common School open?,940 WR,732 WR,0.0,0.5,0
fic:1|fic:1:A=target:97ff7ed76eac|B=fic:1:side5,fic:1,fic:1:A=target:97ff7ed76eac,fic:1:target,fic:1:side5,llama,llama_sl_restore,0,small,large,llama_small,llama_large,restore,0,1,fic:1:side5,fic:1:side2,replaced_length_nearest_card,1,1,0,1,fic:1:target|fic:1:side2|fic:1:side3,fic:1:target|fic:1:side5|fic:1:side3,fic:1:side5,3,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,62,58,12,In what year did Kestrelpin Common School open?,940 WR,940 WR,1.0,1.0,1
