stack_id,dataset,future_distribution,metric,scope,configuration_id,regime_id,config_id,equivalence_id,point_estimate_nondominated,frontier_probability,n_resamples,n_contexts,membership_type,constraint_budget,point_estimate_feasible,feasible_probability,frontier_probability_given_feasible
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,deployable,split__l0|requested_B=80,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""","configuration_id=""split__l0|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""|eq=0002",True,0.83,5000,24,raw_3d,,,,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,deployable,split__l1|requested_B=80,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""","configuration_id=""split__l1|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""|eq=0003",True,0.9442,5000,24,raw_3d,,,,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,deployable,split__linf|requested_B=80,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""","configuration_id=""split__linf|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""|eq=0001",True,0.9976,5000,24,raw_3d,,,,
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,deployable,split__l0|requested_B=80,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""","configuration_id=""split__l0|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""|eq=0002",,0.0,5000,24,constrained,20.0,False,0.0,nan
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,deployable,split__l0|requested_B=80,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""","configuration_id=""split__l0|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""|eq=0002",,0.0,5000,24,constrained,40.0,False,0.0,nan
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,deployable,split__l0|requested_B=80,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""","configuration_id=""split__l0|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""|eq=0002",False,0.5782,5000,24,constrained,80.0,True,1.0,0.5782
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,deployable,split__l1|requested_B=80,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""","configuration_id=""split__l1|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""|eq=0003",,0.0,5000,24,constrained,20.0,False,0.0,nan
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,deployable,split__l1|requested_B=80,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""","configuration_id=""split__l1|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""|eq=0003",,0.0,5000,24,constrained,40.0,False,0.0,nan
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,deployable,split__l1|requested_B=80,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""","configuration_id=""split__l1|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""|eq=0003",True,0.873,5000,24,constrained,80.0,True,1.0,0.873
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,deployable,split__linf|requested_B=80,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""","configuration_id=""split__linf|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""|eq=0001",,0.0,5000,24,constrained,20.0,False,0.0,nan
