family_a,family_b,budget_words,metric,n_contexts,did_a,did_b,quantity,delta,lo,hi,p_value,n
abstractive summary,LM elimination,20,judge_correct,16,-0.9401041666666667,-0.033854166666666664,specialisation_gradient__family_a_minus_family_b,-0.90625,-0.9700520833333334,-0.8424479166666667,0.0,16
abstractive summary,LM elimination,20,em,16,-0.6328125,-0.03515625,specialisation_gradient__family_a_minus_family_b,-0.59765625,-0.7213541666666666,-0.46874999999999994,0.0,16
abstractive summary,LM elimination,40,judge_correct,16,-0.875,-0.5950520833333333,specialisation_gradient__family_a_minus_family_b,-0.27994791666666663,-0.42838541666666663,-0.12369791666666666,0.0005,16
abstractive summary,LM elimination,40,em,16,-0.6588541666666667,-0.4283854166666667,specialisation_gradient__family_a_minus_family_b,-0.23046875000000003,-0.3450520833333333,-0.10677083333333333,0.0005,16
abstractive summary,LM elimination,80,judge_correct,16,-0.8072916666666666,-0.6002604166666667,specialisation_gradient__family_a_minus_family_b,-0.20703125,-0.35286458333333337,-0.06640624999999994,0.0033,16
abstractive summary,LM elimination,80,em,16,-0.6666666666666666,-0.44010416666666663,specialisation_gradient__family_a_minus_family_b,-0.2265625,-0.36328125,-0.09895833333333331,0.0006,16
abstractive summary,LM elimination,160,judge_correct,16,-0.8346354166666666,-0.55859375,specialisation_gradient__family_a_minus_family_b,-0.27604166666666663,-0.41666666666666663,-0.13932291666666663,0.0001,16
abstractive summary,LM elimination,160,em,16,-0.6744791666666666,-0.45052083333333337,specialisation_gradient__family_a_minus_family_b,-0.22395833333333331,-0.35546875,-0.08720703125000044,0.0011,16
abstractive summary,non-LLM elimination,20,judge_correct,16,-0.9401041666666667,-0.022135416666666668,specialisation_gradient__family_a_minus_family_b,-0.91796875,-0.9765625,-0.8567708333333333,0.0,16
abstractive summary,non-LLM elimination,20,em,16,-0.6328125,-0.0234375,specialisation_gradient__family_a_minus_family_b,-0.609375,-0.7278645833333333,-0.4817708333333333,0.0,16
abstractive summary,non-LLM elimination,40,judge_correct,16,-0.875,-0.7916666666666666,specialisation_gradient__family_a_minus_family_b,-0.08333333333333334,-0.18619791666666669,0.02083333333333333,0.1163,16
abstractive summary,non-LLM elimination,40,em,16,-0.6588541666666667,-0.5807291666666667,specialisation_gradient__family_a_minus_family_b,-0.078125,-0.19921875000000003,0.03906250000000002,0.2032,16
abstractive summary,non-LLM elimination,80,judge_correct,16,-0.8072916666666666,-0.7916666666666666,specialisation_gradient__family_a_minus_family_b,-0.01562499999999998,-0.13932291666666666,0.10286458333333336,0.8054,16
abstractive summary,non-LLM elimination,80,em,16,-0.6666666666666666,-0.578125,specialisation_gradient__family_a_minus_family_b,-0.08854166666666667,-0.19401041666666669,0.01432291666666664,0.0928,16
abstractive summary,non-LLM elimination,160,judge_correct,16,-0.8346354166666666,-0.6302083333333334,specialisation_gradient__family_a_minus_family_b,-0.20442708333333331,-0.36067708333333326,-0.06246744791666706,0.0086,16
abstractive summary,non-LLM elimination,160,em,16,-0.6744791666666666,-0.4205729166666667,specialisation_gradient__family_a_minus_family_b,-0.25390625,-0.40494791666666663,-0.09895833333333331,0.0019,16
LM elimination,non-LLM elimination,20,judge_correct,16,-0.033854166666666664,-0.022135416666666668,specialisation_gradient__family_a_minus_family_b,-0.01171875,-0.046875,0.010416666666666668,0.5662,16
LM elimination,non-LLM elimination,20,em,16,-0.03515625,-0.0234375,specialisation_gradient__family_a_minus_family_b,-0.01171875,-0.046875,0.010416666666666668,0.5663,16
LM elimination,non-LLM elimination,40,judge_correct,16,-0.5950520833333333,-0.7916666666666666,specialisation_gradient__family_a_minus_family_b,0.19661458333333331,0.07812499999999997,0.31901041666666663,0.0013,16
LM elimination,non-LLM elimination,40,em,16,-0.4283854166666667,-0.5807291666666667,specialisation_gradient__family_a_minus_family_b,0.15234375,0.04557291666666667,0.26432291666666663,0.0055,16
LM elimination,non-LLM elimination,80,judge_correct,16,-0.6002604166666667,-0.7916666666666666,specialisation_gradient__family_a_minus_family_b,0.19140625,0.04427083333333336,0.33854166666666663,0.0098,16
LM elimination,non-LLM elimination,80,em,16,-0.44010416666666663,-0.578125,specialisation_gradient__family_a_minus_family_b,0.13802083333333331,0.01692708333333334,0.25651041666666663,0.0241,16
LM elimination,non-LLM elimination,160,judge_correct,16,-0.55859375,-0.6302083333333334,specialisation_gradient__family_a_minus_family_b,0.07161458333333333,-0.04817708333333333,0.20442708333333331,0.2765,16
LM elimination,non-LLM elimination,160,em,16,-0.45052083333333337,-0.4205729166666667,specialisation_gradient__family_a_minus_family_b,-0.029947916666666685,-0.17447916666666669,0.12369791666666666,0.6896,16
