arm,block,derived,pair_id,pair_index,start_family,chain_models,chain_model_ids,chain_short_codes,chain_families,n_stages,n_distinct_families,n_family_transitions,n_tier_transitions,homogeneous_family,homogeneous_model,mean_parameters_b,final_parameters_b,first_parameters_b,n_large_stages
homog_small_llama,matched_small,False,56e1c720e3433e140042316a__56e1c720e3433e140042316b,0,llama,llama_small|llama_small|llama_small|llama_small|llama_small|llama_small,meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct,L8-L8-L8-L8-L8-L8,llama|llama|llama|llama|llama|llama,6,1,0,0,True,True,8.0,8.0,8.0,0
homog_small_llama,matched_small,False,5725ee6438643c19005aceb3__5725ee6438643c19005aceb5,1,qwen,llama_small|llama_small|llama_small|llama_small|llama_small|llama_small,meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct,L8-L8-L8-L8-L8-L8,llama|llama|llama|llama|llama|llama,6,1,0,0,True,True,8.0,8.0,8.0,0
homog_small_llama,matched_small,False,572fbf21a23a5019007fc937__572fbf21a23a5019007fc93a,2,mistral,llama_small|llama_small|llama_small|llama_small|llama_small|llama_small,meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct,L8-L8-L8-L8-L8-L8,llama|llama|llama|llama|llama|llama,6,1,0,0,True,True,8.0,8.0,8.0,0
homog_small_llama,matched_small,False,57295b5b1d04691400779315__57295b5b1d04691400779318,3,gemma,llama_small|llama_small|llama_small|llama_small|llama_small|llama_small,meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct,L8-L8-L8-L8-L8-L8,llama|llama|llama|llama|llama|llama,6,1,0,0,True,True,8.0,8.0,8.0,0
homog_small_llama,matched_small,False,57286fa83acd2414000df9e5__57286fa83acd2414000df9e7,4,llama,llama_small|llama_small|llama_small|llama_small|llama_small|llama_small,meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct,L8-L8-L8-L8-L8-L8,llama|llama|llama|llama|llama|llama,6,1,0,0,True,True,8.0,8.0,8.0,0
homog_small_llama,matched_small,False,5727565ef1498d1400e8f674__5727565ef1498d1400e8f676,5,qwen,llama_small|llama_small|llama_small|llama_small|llama_small|llama_small,meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct,L8-L8-L8-L8-L8-L8,llama|llama|llama|llama|llama|llama,6,1,0,0,True,True,8.0,8.0,8.0,0
homog_small_llama,matched_small,False,5726a9ff708984140094cd4b__5726a9ff708984140094cd4c,6,mistral,llama_small|llama_small|llama_small|llama_small|llama_small|llama_small,meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct,L8-L8-L8-L8-L8-L8,llama|llama|llama|llama|llama|llama,6,1,0,0,True,True,8.0,8.0,8.0,0
homog_small_llama,matched_small,False,56e10fbacd28a01900c67509__56e10fbacd28a01900c6750c,7,gemma,llama_small|llama_small|llama_small|llama_small|llama_small|llama_small,meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct,L8-L8-L8-L8-L8-L8,llama|llama|llama|llama|llama|llama,6,1,0,0,True,True,8.0,8.0,8.0,0
homog_small_llama,matched_small,False,5730d3adaca1c71400fe5af5__5730d3adaca1c71400fe5af6,8,llama,llama_small|llama_small|llama_small|llama_small|llama_small|llama_small,meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct,L8-L8-L8-L8-L8-L8,llama|llama|llama|llama|llama|llama,6,1,0,0,True,True,8.0,8.0,8.0,0
homog_small_llama,matched_small,False,57277944f1498d1400e8f90b__57277944f1498d1400e8f90c,9,qwen,llama_small|llama_small|llama_small|llama_small|llama_small|llama_small,meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct|meta-llama/llama-3.1-8b-instruct,L8-L8-L8-L8-L8-L8,llama|llama|llama|llama|llama|llama,6,1,0,0,True,True,8.0,8.0,8.0,0
