analysis,stack_id,stack_label,sender_model,reader_model,sender_temperature,sender_seed,dataset,future_distribution,metric,policy_family,constraint_budget,n_contexts,low_preference_id,high_preference_id,low_future_share,high_future_share,u_now_low,u_now_high,u_future_low,u_future_high,delta_u_now,delta_u_now_lo,delta_u_now_hi,delta_u_future,delta_u_future_lo,delta_u_future_hi,point_direction_correct,ci_direction_supported,ci_level,n_resamples,n_stacks,expected_seed_count,complete_seed_triplet,seed_ids,all_sign_agreement,all_ci_direction_supported,delta_u_now_min,delta_u_now_max,delta_u_future_min,delta_u_future_max,comparison_stack_id,comparison_stack_label,estimate,n_shared_configurations,n_common_contexts,shared_semantic_configurations,left_frontier,right_frontier,left_frontier_size,right_frontier_size,detail
structured_endpoint,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.1-8b-instruct,0.2,17,squad_groups,empirical_questions,judge_correct,split,80,24,l0,linf,0.0,1.0,0.875,0.4583333333333333,0.37847222222222215,0.5659722222222222,-0.4166666666666667,-0.53125,-0.3122395833333371,0.18750000000000003,0.1111111111111111,0.26736111111111116,True,True,0.95,5000,,,,,,,,,,,,,,,,,,,,,
structured_endpoint,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=29",meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.1-8b-instruct,0.2,29,squad_groups,empirical_questions,judge_correct,split,80,24,l0,linf,0.0,1.0,0.8541666666666666,0.40625,0.4340277777777777,0.6006944444444444,-0.4479166666666667,-0.5625,-0.3333333333333333,0.16666666666666666,0.10069444444444442,0.23263888888888892,True,True,0.95,5000,,,,,,,,,,,,,,,,,,,,,
structured_endpoint,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=43",meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.1-8b-instruct,0.2,43,squad_groups,empirical_questions,judge_correct,split,80,24,l0,linf,0.0,1.0,0.7916666666666666,0.5208333333333334,0.40972222222222215,0.6006944444444443,-0.2708333333333333,-0.40625,-0.14583333333333334,0.19097222222222224,0.09722222222222217,0.2881944444444445,True,True,0.95,5000,,,,,,,,,,,,,,,,,,,,,
structured_endpoint,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.1-8b-instruct,0.0,none,relation_dossiers,far,judge_correct,split,80,16,l0,linf,0.0,1.0,0.984375,0.109375,0.01171875,0.3203125,-0.875,-0.9375,-0.796875,0.30859375,0.28385416666666663,0.3333333333333333,True,True,0.95,5000,,,,,,,,,,,,,,,,,,,,,
structured_endpoint,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.1-8b-instruct,0.0,none,squad_groups,empirical_questions,judge_correct,split,80,24,l0,linf,0.0,1.0,0.8229166666666666,0.4895833333333333,0.3993055555555555,0.611111111111111,-0.3333333333333333,-0.46875,-0.20833333333333334,0.2118055555555555,0.09375,0.31944444444444436,True,True,0.95,5000,,,,,,,,,,,,,,,,,,,,,
structured_endpoint,sender=mistralai/ministral-8b-2512|reader=mistralai/ministral-8b-2512|temperature=0|seed=none,Ministral-3-8B-2512 writer / Ministral-3-8B-2512 reader,mistralai/ministral-8b-2512,mistralai/ministral-8b-2512,0.0,none,relation_dossiers,far,judge_correct,split,80,16,l0,linf,0.0,1.0,1.0,0.578125,0.05598958333333333,0.5260416666666666,-0.421875,-0.53125,-0.3125,0.47005208333333326,0.4153645833333333,0.5247395833333334,True,True,0.95,5000,,,,,,,,,,,,,,,,,,,,,
temperature_seed_summary,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=summary,"Llama-3.1-8B, T=0.2 seeds",meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.1-8b-instruct,0.2,summary,squad_groups,empirical_questions,judge_correct,split,80,,,,,,,,,,,,,,,,,,,,3,3,True,"[""17"", ""29"", ""43""]",True,True,-0.4479166666666667,-0.2708333333333333,0.16666666666666666,0.19097222222222224,,,,,,,,,,,
matched_frontier_jaccard,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,,,,,relation_dossiers,far,judge_correct,all_deployable,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sender=mistralai/ministral-8b-2512|reader=mistralai/ministral-8b-2512|temperature=0|seed=none,Ministral-3-8B-2512 writer / Ministral-3-8B-2512 reader,1.0,12,16,"[""family=legacy|policy=conditioned|requested_B=40"", ""family=legacy|policy=conditioned|requested_B=80"", ""family=legacy|policy=generic|requested_B=40"", ""family=legacy|policy=generic|requested_B=80"", ""family=legacy|policy=reusable|requested_B=40"", ""family=legacy|policy=reusable|requested_B=80"", ""family=split|preference=l0|future_share=0|requested_B=40"", ""family=split|preference=l0|future_share=0|requested_B=80"", ""family=split|preference=l1|future_share=0.5|requested_B=40"", ""family=split|preference=l1|future_share=0.5|requested_B=80"", ""family=split|preference=linf|future_share=1|requested_B=40"", ""family=split|preference=linf|future_share=1|requested_B=80""]","[""family=legacy|policy=generic|requested_B=80"", ""family=split|preference=l1|future_share=0.5|requested_B=80""]","[""family=legacy|policy=generic|requested_B=80"", ""family=split|preference=l1|future_share=0.5|requested_B=80""]",2,2,restricted to shared semantic configurations and common contexts; nondominance recomputed separately within each stack
matched_frontier_jaccard,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",,,,,squad_groups,empirical_questions,judge_correct,all_deployable,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=29",0.6666666666666666,3,24,"[""family=split|preference=l0|future_share=0|requested_B=80"", ""family=split|preference=l1|future_share=0.5|requested_B=80"", ""family=split|preference=linf|future_share=1|requested_B=80""]","[""family=split|preference=l0|future_share=0|requested_B=80"", ""family=split|preference=l1|future_share=0.5|requested_B=80"", ""family=split|preference=linf|future_share=1|requested_B=80""]","[""family=split|preference=l1|future_share=0.5|requested_B=80"", ""family=split|preference=linf|future_share=1|requested_B=80""]",3,2,restricted to shared semantic configurations and common contexts; nondominance recomputed separately within each stack
matched_frontier_jaccard,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",,,,,squad_groups,empirical_questions,judge_correct,all_deployable,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=43",0.6666666666666666,3,24,"[""family=split|preference=l0|future_share=0|requested_B=80"", ""family=split|preference=l1|future_share=0.5|requested_B=80"", ""family=split|preference=linf|future_share=1|requested_B=80""]","[""family=split|preference=l0|future_share=0|requested_B=80"", ""family=split|preference=l1|future_share=0.5|requested_B=80"", ""family=split|preference=linf|future_share=1|requested_B=80""]","[""family=split|preference=l1|future_share=0.5|requested_B=80"", ""family=split|preference=linf|future_share=1|requested_B=80""]",3,2,restricted to shared semantic configurations and common contexts; nondominance recomputed separately within each stack
