pair_id,query_side,target_qid,question,golds,candidate_id,candidate_title,text,verdict,is_irrelevant,verdict_parse_ok,cached
56e1c720e3433e140042316a__56e1c720e3433e140042316b,A,56e1c720e3433e140042316a,What is an example of a measurement within a complexity class that would create a bigger set of problems if the bounds were relaxed?,['computation time'],550636c40fe4508a,Geology,"In the 1960s, a series of discoveries, the most important of which was seafloor spreading, showed that the Earth's lithosphere, which includes the crust and rigid uppermost portion of the upper mantle, is separated into a number of tectonic plates that move across the plastically deforming, solid, upper mantle, which is called the asthenosphere. There is an intimate coupling between the movement of the plates on the surface and the convection of the mantle: oceanic plate motions and mantle convection currents always move in the same direction, because the oceanic lithosphere is the rigid upper thermal boundary layer of the convecting mantle. This coupling between rigid plates moving on the surface of the Earth and the convecting mantle is called plate tectonics.",IRRELEVANT,True,True,True
56e1c720e3433e140042316a__56e1c720e3433e140042316b,B,56e1c720e3433e140042316b,In what expression can one expect to find DTIME(n),['DTIME(n2)'],550636c40fe4508a,Geology,"In the 1960s, a series of discoveries, the most important of which was seafloor spreading, showed that the Earth's lithosphere, which includes the crust and rigid uppermost portion of the upper mantle, is separated into a number of tectonic plates that move across the plastically deforming, solid, upper mantle, which is called the asthenosphere. There is an intimate coupling between the movement of the plates on the surface and the convection of the mantle: oceanic plate motions and mantle convection currents always move in the same direction, because the oceanic lithosphere is the rigid upper thermal boundary layer of the convecting mantle. This coupling between rigid plates moving on the surface of the Earth and the convecting mantle is called plate tectonics.",IRRELEVANT,True,True,True
56e1c720e3433e140042316a__56e1c720e3433e140042316b,A,56e1c720e3433e140042316a,What is an example of a measurement within a complexity class that would create a bigger set of problems if the bounds were relaxed?,['computation time'],8d1a2cfbd982f999,Doctor_Who,"During the ITV network strike of 1979, viewership peaked at 16 million.[citation needed] Figures remained respectable into the 1980s, but fell noticeably after the programme's 23rd series was postponed in 1985 and the show was off the air for 18 months. Its late 1980s performance of three to five million viewers was seen as poor at the time and was, according to the BBC Board of Control, a leading cause of the programme's 1989 suspension. Some fans considered this disingenuous, since the programme was scheduled against the soap opera Coronation Street, the most popular show at the time. After the series' revival in 2005 (the third notable period of high ratings), it has consistently had high viewership levels for the evening on which the episode is broadcast.",IRRELEVANT,True,True,True
56e1c720e3433e140042316a__56e1c720e3433e140042316b,B,56e1c720e3433e140042316b,In what expression can one expect to find DTIME(n),['DTIME(n2)'],8d1a2cfbd982f999,Doctor_Who,"During the ITV network strike of 1979, viewership peaked at 16 million.[citation needed] Figures remained respectable into the 1980s, but fell noticeably after the programme's 23rd series was postponed in 1985 and the show was off the air for 18 months. Its late 1980s performance of three to five million viewers was seen as poor at the time and was, according to the BBC Board of Control, a leading cause of the programme's 1989 suspension. Some fans considered this disingenuous, since the programme was scheduled against the soap opera Coronation Street, the most popular show at the time. After the series' revival in 2005 (the third notable period of high ratings), it has consistently had high viewership levels for the evening on which the episode is broadcast.",IRRELEVANT,True,True,True
56e1c720e3433e140042316a__56e1c720e3433e140042316b,A,56e1c720e3433e140042316a,What is an example of a measurement within a complexity class that would create a bigger set of problems if the bounds were relaxed?,['computation time'],6a86cf0117278e97,Ctenophora,"The Beroida, also known as Nuda, have no feeding appendages, but their large pharynx, just inside the large mouth and filling most of the saclike body, bears ""macrocilia"" at the oral end. These fused bundles of several thousand large cilia are able to ""bite"" off pieces of prey that are too large to swallow whole – almost always other ctenophores. In front of the field of macrocilia, on the mouth ""lips"" in some species of Beroe, is a pair of narrow strips of adhesive epithelial cells on the stomach wall that ""zip"" the mouth shut when the animal is not feeding, by forming intercellular connections with the opposite adhesive strip. This tight closure streamlines the front of the animal when it is pursuing prey.",IRRELEVANT,True,True,True
56e1c720e3433e140042316a__56e1c720e3433e140042316b,B,56e1c720e3433e140042316b,In what expression can one expect to find DTIME(n),['DTIME(n2)'],6a86cf0117278e97,Ctenophora,"The Beroida, also known as Nuda, have no feeding appendages, but their large pharynx, just inside the large mouth and filling most of the saclike body, bears ""macrocilia"" at the oral end. These fused bundles of several thousand large cilia are able to ""bite"" off pieces of prey that are too large to swallow whole – almost always other ctenophores. In front of the field of macrocilia, on the mouth ""lips"" in some species of Beroe, is a pair of narrow strips of adhesive epithelial cells on the stomach wall that ""zip"" the mouth shut when the animal is not feeding, by forming intercellular connections with the opposite adhesive strip. This tight closure streamlines the front of the animal when it is pursuing prey.",IRRELEVANT,True,True,True
56e1c720e3433e140042316a__56e1c720e3433e140042316b,A,56e1c720e3433e140042316a,What is an example of a measurement within a complexity class that would create a bigger set of problems if the bounds were relaxed?,['computation time'],f684d24fedd06ae1,Huguenot,"Other evidence of the Walloons and Huguenots in Canterbury includes a block of houses in Turnagain Lane, where weavers' windows survive on the top floor, as many Huguenots worked as weavers. The Weavers, a half-timbered house by the river, was the site of a weaving school from the late 16th century to about 1830. (It has been adapted as a restaurant—see illustration above. The house derives its name from a weaving school which was moved there in the last years of the 19th century, reviving an earlier use.) Others refugees practised the variety of occupations necessary to sustain the community as distinct from the indigenous population. Such economic separation was the condition of the refugees' initial acceptance in the City. They also settled elsewhere in Kent, particularly Sandwich, Faversham and Maidstone—towns in which there used to be refugee churches.",IRRELEVANT,True,True,True
56e1c720e3433e140042316a__56e1c720e3433e140042316b,B,56e1c720e3433e140042316b,In what expression can one expect to find DTIME(n),['DTIME(n2)'],f684d24fedd06ae1,Huguenot,"Other evidence of the Walloons and Huguenots in Canterbury includes a block of houses in Turnagain Lane, where weavers' windows survive on the top floor, as many Huguenots worked as weavers. The Weavers, a half-timbered house by the river, was the site of a weaving school from the late 16th century to about 1830. (It has been adapted as a restaurant—see illustration above. The house derives its name from a weaving school which was moved there in the last years of the 19th century, reviving an earlier use.) Others refugees practised the variety of occupations necessary to sustain the community as distinct from the indigenous population. Such economic separation was the condition of the refugees' initial acceptance in the City. They also settled elsewhere in Kent, particularly Sandwich, Faversham and Maidstone—towns in which there used to be refugee churches.",IRRELEVANT,True,True,True
56e1c720e3433e140042316a__56e1c720e3433e140042316b,A,56e1c720e3433e140042316a,What is an example of a measurement within a complexity class that would create a bigger set of problems if the bounds were relaxed?,['computation time'],4e29e864fdfd291b,Amazon_rainforest,"Terra preta (black earth), which is distributed over large areas in the Amazon forest, is now widely accepted as a product of indigenous soil management. The development of this fertile soil allowed agriculture and silviculture in the previously hostile environment; meaning that large portions of the Amazon rainforest are probably the result of centuries of human management, rather than naturally occurring as has previously been supposed. In the region of the Xingu tribe, remains of some of these large settlements in the middle of the Amazon forest were found in 2003 by Michael Heckenberger and colleagues of the University of Florida. Among those were evidence of roads, bridges and large plazas.",IRRELEVANT,True,True,True
56e1c720e3433e140042316a__56e1c720e3433e140042316b,B,56e1c720e3433e140042316b,In what expression can one expect to find DTIME(n),['DTIME(n2)'],4e29e864fdfd291b,Amazon_rainforest,"Terra preta (black earth), which is distributed over large areas in the Amazon forest, is now widely accepted as a product of indigenous soil management. The development of this fertile soil allowed agriculture and silviculture in the previously hostile environment; meaning that large portions of the Amazon rainforest are probably the result of centuries of human management, rather than naturally occurring as has previously been supposed. In the region of the Xingu tribe, remains of some of these large settlements in the middle of the Amazon forest were found in 2003 by Michael Heckenberger and colleagues of the University of Florida. Among those were evidence of roads, bridges and large plazas.",IRRELEVANT,True,True,True
