mode,query_type,depth,metric,delta,lo,hi,p_value,n
generic,alternate,5,em,-0.1728395061728395,-0.2532407407407394,-0.09259259259259259,0.0,81
generic,alternate,5,f1,-0.17956156535061527,-0.2644665096637721,-0.09401575421804892,0.0,81
generic,alternate,5,bertscore_f1,-0.15417458024691358,-0.21909787253086413,-0.09074388070987656,0.0,81
generic,target,5,em,-0.15,-0.31666666666666665,0.0,0.0713,30
generic,target,5,f1,-0.16334859584859585,-0.32773908730158724,-0.01584661172161175,0.0404,30
generic,target,5,bertscore_f1,-0.14689519999999995,-0.3043584229166665,-0.014968896250000112,0.0453,30
targeted,alternate,5,em,0.024691358024691357,-0.06172839506172839,0.11728395061728394,0.6374,81
targeted,alternate,5,f1,0.013191497772818214,-0.07306974255243175,0.09993227563275871,0.7617,81
targeted,alternate,5,bertscore_f1,-0.01697845679012346,-0.08981851682098765,0.05376146867283947,0.638,81
targeted,target,5,em,0.05,-0.1,0.2,0.585,30
targeted,target,5,f1,0.054081196581196596,-0.08209623015873009,0.18870553520553518,0.4213,30
targeted,target,5,bertscore_f1,-0.010396183333333328,-0.12252401666666665,0.09304229,0.8438,30
