stack_id,stack_label,dataset,future_distribution,metric,scope,constraint_budget,objective_lambda,objective_lambda_infinite,objective_lambda_label,intended_preference_id,intended_allocation_alpha,n_feasible_structured_arms,best_observed_scalar_score,winner_config_ids,winner_policy_ids,winner_allocation_alphas,winner_nondominated_flags,winner_frontier_probabilities,n_winner_ties,intended_configuration_ids,intended_best_configuration_ids,intended_alpha_scalar_score,intended_alpha_scalar_regret,intended_alpha_is_objective_winner,intended_alpha_is_nondominated,intended_alpha_frontier_probability,intended_alpha_is_stably_supported,frontier_stability_threshold,interpretation
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,em,deployable,80.0,0.0,False,0,l0,0.0,3,0.6145833333333334,"[""split__l0|requested_B=80"", ""split__l1|requested_B=80""]","[""split__l0"", ""split__l1""]","[0.0, 0.5]","[false, true]","[0.5782, 0.873]",2,"[""split__l0|requested_B=80""]","[""split__l0|requested_B=80""]",0.6145833333333334,0.0,True,False,0.5782,False,0.8,tradeoff_level_not_on_frontier
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,em,deployable,80.0,0.3333333333333333,False,0.333333,l0p333,0.25,3,0.6851851851851852,"[""split__l1|requested_B=80""]","[""split__l1""]",[0.5],[true],[0.873],1,[],[],,,False,False,,False,0.8,intended_alpha_arm_unavailable
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,em,deployable,80.0,1.0,False,1,l1,0.5,3,0.826388888888889,"[""split__l1|requested_B=80""]","[""split__l1""]",[0.5],[true],[0.873],1,"[""split__l1|requested_B=80""]","[""split__l1|requested_B=80""]",0.826388888888889,0.0,True,True,0.873,True,0.8,objective_supported_and_stable_frontier_level
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,em,deployable,80.0,3.0,False,3,l3,0.75,3,1.25,"[""split__l1|requested_B=80""]","[""split__l1""]",[0.5],[true],[0.873],1,[],[],,,False,False,,False,0.8,intended_alpha_arm_unavailable
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,em,deployable,80.0,,True,∞,linf,1.0,3,0.3055555555555555,"[""split__linf|requested_B=80""]","[""split__linf""]",[1.0],[true],[0.9974],1,"[""split__linf|requested_B=80""]","[""split__linf|requested_B=80""]",0.3055555555555555,0.0,True,True,0.9974,True,0.8,objective_supported_and_stable_frontier_level
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,f1,deployable,80.0,0.0,False,0,l0,0.0,3,0.7750163674810852,"[""split__l0|requested_B=80""]","[""split__l0""]",[0.0],[true],[0.9258],1,"[""split__l0|requested_B=80""]","[""split__l0|requested_B=80""]",0.7750163674810852,0.0,True,True,0.9258,True,0.8,objective_supported_and_stable_frontier_level
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,f1,deployable,80.0,0.3333333333333333,False,0.333333,l0p333,0.25,3,0.8723135676786121,"[""split__l0|requested_B=80""]","[""split__l0""]",[0.0],[true],[0.9258],1,[],[],,,False,False,,False,0.8,intended_alpha_arm_unavailable
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,f1,deployable,80.0,1.0,False,1,l1,0.5,3,1.0848482803155512,"[""split__l1|requested_B=80""]","[""split__l1""]",[0.5],[true],[0.9736],1,"[""split__l1|requested_B=80""]","[""split__l1|requested_B=80""]",1.0848482803155512,0.0,True,True,0.9736,True,0.8,objective_supported_and_stable_frontier_level
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,f1,deployable,80.0,3.0,False,3,l3,0.75,3,1.8101020023297867,"[""split__l1|requested_B=80""]","[""split__l1""]",[0.5],[true],[0.9736],1,[],[],,,False,False,,False,0.8,intended_alpha_arm_unavailable
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,f1,deployable,80.0,,True,∞,linf,1.0,3,0.45234015565784785,"[""split__linf|requested_B=80""]","[""split__linf""]",[1.0],[true],[0.9998],1,"[""split__linf|requested_B=80""]","[""split__linf|requested_B=80""]",0.45234015565784785,0.0,True,True,0.9998,True,0.8,objective_supported_and_stable_frontier_level
