item_id,arm,arm_label,arm_group,depth,schedule,shared_baseline,source,dataset,em,f1,judge_correct,parametric_judge_correct,answer_origin,pred,side_em,side_f1,side_judge_correct,side_answer_origin,side_pred,stage,document_characters,prefix,directive,directive_kind,directive_direction,advertised_tokens,summary_characters,summary_words,estimated_tokens,internal_repetition,truncated,empty,target_fact_present,side_fact_retention,side_facts_present,side_facts_total,parametric_present,prompt_tokens,completion_tokens,finish_reason,cost_usd,provider,cached,tracked_variants,unsupported_count,unsupported_term_count,unsupported_number_count,unsupported_corrupted_count,unsupported_invented_count,tracked_variant_count,checked_term_count,unsupported_rate,lexical_similarity,novel_token_rate,retained_token_rate,ngram_copy_rate,length_ratio,semantic_preserved,semantic_verdict,unsupported_claims,unsupported_claim_quotes
cfk:1,control,control (no size instruction),baseline,0,,True,known_entity,counterfactual,1.0,1.0,0,0,other,Gaius Valerius Marcellus,1.0,1.0,1,document,Dactylic hexameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfk:10,control,control (no size instruction),baseline,0,,True,known_entity,counterfactual,1.0,1.0,1,0,document,1491,0.0,0.0,1,document,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfk:11,control,control (no size instruction),baseline,0,,True,known_entity,counterfactual,1.0,1.0,1,0,document,Serafim K. Vedenin,0.0,0.5714285714285715,1,document,"Atomic radius, ionization energy, electronegativity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfk:14,control,control (no size instruction),baseline,0,,True,known_entity,counterfactual,1.0,1.0,1,0,document,Liora Venn,1.0,1.0,1,document,Ernst Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfk:15,control,control (no size instruction),baseline,0,,True,known_entity,counterfactual,1.0,1.0,1,0,document,Saguaro River,1.0,1.0,1,document,Lake Meade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfk:17,control,control (no size instruction),baseline,0,,True,known_entity,counterfactual,1.0,1.0,1,0,document,Lyrastes of Nymion,1.0,1.0,1,document,Agamyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfk:18,control,control (no size instruction),baseline,0,,True,known_entity,counterfactual,1.0,1.0,1,0,document,1686,1.0,1.0,1,document,"Trinity College, Cambridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfk:19,control,control (no size instruction),baseline,0,,True,known_entity,counterfactual,1.0,1.0,1,0,document,Kyoto,1.0,1.0,1,document,Sea of Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfk:2,control,control (no size instruction),baseline,0,,True,known_entity,counterfactual,1.0,1.0,1,0,document,1686,1.0,1.0,1,document,Law of universal gravitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfk:20,control,control (no size instruction),baseline,0,,True,known_entity,counterfactual,1.0,1.0,1,0,document,Cologne,0.0,0.0,1,document,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
