analysis,stack_id,dataset,future_distribution,metric,policy_family,constraint_budget,comparison,estimate,detail
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,em,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,f1,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,squad_groups,empirical_questions,judge_correct,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,em,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,f1,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=29,squad_groups,empirical_questions,judge_correct,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,squad_groups,empirical_questions,em,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,squad_groups,empirical_questions,f1,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=43,squad_groups,empirical_questions,judge_correct,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,scalar,80,future-share endpoint,1,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,split,160,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,split,40,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,em,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,scalar,80,future-share endpoint,1,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,split,160,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,split,40,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,f1,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,judge_correct,scalar,80,future-share endpoint,1,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,judge_correct,split,160,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,judge_correct,split,40,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,empirical_cells,judge_correct,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,far,em,scalar,80,future-share endpoint,1,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,far,em,split,160,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,far,em,split,40,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,far,em,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,far,f1,scalar,80,future-share endpoint,1,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,far,f1,split,160,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,far,f1,split,40,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,far,f1,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,far,judge_correct,scalar,80,future-share endpoint,1,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,far,judge_correct,split,160,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,far,judge_correct,split,40,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,far,judge_correct,split,80,future-share endpoint,1,joint 95% direction supported
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,novel_near,em,scalar,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,novel_near,em,split,160,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,novel_near,em,split,40,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,novel_near,em,split,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,novel_near,f1,scalar,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,novel_near,f1,split,160,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,novel_near,f1,split,40,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,novel_near,f1,split,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,novel_near,judge_correct,scalar,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,novel_near,judge_correct,split,160,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,novel_near,judge_correct,split,40,future-share endpoint,1,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,novel_near,judge_correct,split,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,paraphrase_sanity,em,scalar,80,future-share endpoint,1,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,paraphrase_sanity,em,split,160,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,paraphrase_sanity,em,split,40,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,paraphrase_sanity,em,split,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,paraphrase_sanity,f1,scalar,80,future-share endpoint,1,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,paraphrase_sanity,f1,split,160,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,paraphrase_sanity,f1,split,40,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,paraphrase_sanity,f1,split,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,paraphrase_sanity,judge_correct,scalar,80,future-share endpoint,1,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,paraphrase_sanity,judge_correct,split,160,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,paraphrase_sanity,judge_correct,split,40,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,paraphrase_sanity,judge_correct,split,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,relation_balanced,em,scalar,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,relation_balanced,em,split,160,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,relation_balanced,em,split,40,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,relation_balanced,em,split,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,relation_balanced,f1,scalar,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,relation_balanced,f1,split,160,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,relation_balanced,f1,split,40,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,relation_balanced,f1,split,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,relation_balanced,judge_correct,scalar,80,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,relation_balanced,judge_correct,split,160,future-share endpoint,0,point direction only or mixed
preference_direction,sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,relation_dossiers,relation_balanced,judge_correct,split,40,future-share endpoint,0,point direction only or mixed
